Date,Callsoffered
2/24/2020,138
2/25/2020,115
2/26/2020,140
2/27/2020,83
2/28/2020,103
3/2/2020,117
3/3/2020,94
3/4/2020,125
3/5/2020,98
3/6/2020,88
3/9/2020,125
3/10/2020,99
3/11/2020,111
3/12/2020,66
3/13/2020,105
3/16/2020,83
3/17/2020,82
3/18/2020,57
3/19/2020,56
3/20/2020,61
3/23/2020,65
3/24/2020,72
3/25/2020,51
3/26/2020,37
3/27/2020,62
3/29/2020,1
3/30/2020,66
3/31/2020,66
4/1/2020,68
4/2/2020,48
4/3/2020,57
4/6/2020,79
4/7/2020,48
4/8/2020,53
4/9/2020,44
4/10/2020,25
4/13/2020,85
4/14/2020,86
4/15/2020,46
4/16/2020,45
4/17/2020,41
4/20/2020,55
4/21/2020,42
4/22/2020,46
4/23/2020,68
4/24/2020,69
4/27/2020,58
4/28/2020,54
4/29/2020,64
4/30/2020,71
5/1/2020,57
5/4/2020,70
5/5/2020,63
5/6/2020,55
5/7/2020,52
5/8/2020,69
5/11/2020,53
5/12/2020,46
5/13/2020,49
5/14/2020,57
5/15/2020,45
5/18/2020,72
5/19/2020,50
5/20/2020,24
5/21/2020,42
5/22/2020,32
5/26/2020,76
5/27/2020,71
5/28/2020,56
5/29/2020,51
6/1/2020,84
6/2/2020,62
6/3/2020,56
6/4/2020,59
6/5/2020,57
6/8/2020,45
6/9/2020,78
6/10/2020,65
6/11/2020,71
6/12/2020,64
6/15/2020,32
6/15/2020,32
